Frame,Dist_Px,Dist_CM,Dist_Std_CM
0,2.0,0.016791906907806842,0.6054492740087286
1,2.0,0.016791906907806842,0.004197976726951711
2,6.0,0.05037572072342053,0.0039578904145211495
3,6.0,0.05037572072342053,0.0039578904145211495
4,5.0,0.041979767269517104,0.006282956251961584
5,4.0,0.033583813815613685,0.5101799041781769
6,4.0,0.033583813815613685,0.008562226099334058
7,6.0,0.05037572072342053,0.0039578904145211495
8,6.0,0.05037572072342053,0.0039578904145211495
9,5.0,0.041979767269517104,0.0039578904145211495
10,4.0,0.033583813815613685,0.010354063726391272
11,6.0,0.05037572072342053,0.006961556840971533
12,6.0,0.05037572072342053,0.006961556840971533
13,4.0,0.033583813815613685,0.006961556840971533
14,6.0,0.05037572072342053,0.004197976726951711
15,6.0,0.05037572072342053,0.004197976726951711
16,5.0,0.041979767269517104,0.006282956251961584
17,4.0,0.033583813815613685,0.00896005550950784
18,6.0,0.05037572072342053,0.004197976726951711
19,6.0,0.05037572072342053,0.004197976726951711
20,6.0,0.05037572072342053,0.004197976726951711
21,6.0,0.05037572072342053,0.0039578904145211495
22,4.0,0.033583813815613685,0.008562226099334058
23,6.0,0.05037572072342053,0.0039578904145211495
24,5.0,0.041979767269517104,0.005936835621781725
25,6.0,0.05037572072342053,0.0039578904145211495
26,5.0,0.041979767269517104,0.005936835621781725
27,4.0,0.033583813815613685,0.008562226099334058
28,4.0,0.033583813815613685,0.008562226099334058
29,5.0,0.041979767269517104,0.0039578904145211495
30,5.0,0.041979767269517104,0.005936835621781725
31,4.0,0.033583813815613685,0.007915780829042299
32,6.0,0.05037572072342053,0.0039578904145211495
33,5.0,0.041979767269517104,0.005936835621781725
34,6.0,0.05037572072342053,0.0039578904145211495
35,6.0,0.05037572072342053,0.004197976726951711
36,6.0,0.05037572072342053,0.006961556840971533
37,6.0,0.05037572072342053,0.0062829562519615845
38,6.0,0.05037572072342053,0.004197976726951711
39,6.0,0.05037572072342053,0.006961556840971533
40,6.0,0.05037572072342053,0.004197976726951711
41,6.0,0.05037572072342053,0.004197976726951711
42,6.0,0.05037572072342053,0.004197976726951711
43,6.0,0.05037572072342053,0.004197976726951711
44,4.0,0.033583813815613685,0.009386961329426098
45,6.0,0.05037572072342053,0.006961556840971533
46,4.0,0.033583813815613685,0.008562226099334058
47,5.0,0.041979767269517104,0.0039578904145211495
48,6.0,0.05037572072342053,0.006961556840971533
49,6.0,0.05037572072342053,0.004197976726951711
50,6.0,0.05037572072342053,0.004197976726951711
51,6.0,0.05037572072342053,0.006961556840971533
52,6.0,0.05037572072342053,0.0039578904145211495
53,6.0,0.05037572072342053,0.004197976726951711
54,6.0,0.05037572072342053,0.004197976726951711
55,6.0,0.05037572072342053,0.0039578904145211495
56,6.0,0.05037572072342053,0.006961556840971533
57,5.0,0.041979767269517104,0.005936835621781725
58,6.0,0.05037572072342053,0.0039578904145211495
59,6.0,0.05037572072342053,0.006961556840971533
60,6.0,0.05037572072342053,0.009197306196932629
61,6.0,0.05037572072342053,0.009197306196932629
62,6.0,0.05037572072342053,0.012339481119732857
63,6.0,0.05037572072342053,0.010282900933110713
64,6.0,0.05037572072342053,0.010282900933110713
65,6.0,0.05037572072342053,0.004197976726951711
66,5.0,0.041979767269517104,0.007074850920717408
67,5.0,0.041979767269517104,0.005936835621781725
68,6.0,0.05037572072342053,0.004197976726951711
69,6.0,0.05037572072342053,0.004197976726951711
70,6.0,0.05037572072342053,0.004197976726951711
71,6.0,0.05037572072342053,0.004197976726951711
