Frame,Dist_Px,Dist_CM,Dist_Std_CM
0,22.708333333333314,0.22407715130898706,0.15091136416698459
1,21.947916666666686,0.21657365037065898,0.16221886391176757
2,21.602040816326507,0.2131606797174127,0.18791741430016787
3,24.270833333333314,0.23949530392199078,0.20846183674557603
4,23.787234042553166,0.23472333101396603,0.18144176191715924
5,24.7340425531915,0.24406607540584607,0.19278117582794266
6,23.09375,0.22788029562019485,0.14832284183275066
7,23.469387755102048,0.2315869453708313,0.18376039285979265
8,22.95999999999998,0.2265605017565215,0.18490093552126724
9,25.725490196078454,0.25384930168797976,0.24009012385456466
10,25.0,0.24669044180805938,0.20286014819264597
11,24.478723404255334,0.24154668365972126,0.20004096173410923
12,22.80434782608694,0.2250245856144818,0.1705913228648817
13,20.563829787234056,0.20291601021914002,0.13727077041746794
14,20.908163265306143,0.2063137613325364,0.13496036847800835
15,21.875,0.21585413658205194,0.15437192948847528
16,27.375,0.270126033779825,0.21939212279842993
17,27.67346938775512,0.2730712155850847,0.29200981947892024
18,25.208333333333314,0.24874619548979301,0.20611040134065028
19,20.680851063829778,0.2040707314361137,0.12329871059596575
20,21.0204081632653,0.2074213510712662,0.15494064138887914
21,20.680000000000007,0.2040623334636268,0.12854351285983007
22,20.928571428571445,0.2065151412850327,0.1366588528362587
23,23.649999999999977,0.23336915795042393,0.17971191274917486
24,25.612244897959158,0.2527318403829504,0.2203069989021496
25,22.5625,0.22263812373177358,0.1589180036744926
26,23.75,0.2343559197176564,0.2036902328248382
27,22.857142857142833,0.22554554679593974,0.22138389798170413
28,23.649999999999977,0.23336915795042393,0.20955332994790019
29,21.83673469387753,0.21547654917112105,0.1558276198629757
30,22.571428571428555,0.22272622746099058,0.16771988311601496
31,23.723404255319167,0.23409348307743524,0.17102365814551795
32,22.468085106383,0.22170647365898805,0.1499105718149558
33,21.87755102040819,0.21587930907611427,0.1765807092333386
34,21.622641509433947,0.21336395948078177,0.19909685663780022
35,18.764705882352928,0.18516294338063738,0.1439612702772441
36,24.377358490566053,0.24054645344604747,0.22030688471286977
37,24.67346938775512,0.24346836256811755,0.2002846891803291
38,26.399999999999977,0.2605051065493105,0.22608691123459923
39,23.74000000000001,0.23425724354093327,0.18838943896105653
40,20.20999999999998,0.199424553157635,0.1401361180553916
41,22.735849056603797,0.22434866594619762,0.2001269760404355
42,28.269230769230774,0.278949961121421,0.22502142441691306
43,27.70999999999998,0.2734316857000528,0.2478060977341001
44,25.458333333333314,0.2512130999078736,0.2191795947924765
45,22.12765957446811,0.21834728466415493,0.15299875164092328
46,25.265306122448976,0.2493083811905122,0.20968208273590772
47,23.653061224489818,0.23339936494329883,0.1863690678152302
48,21.632653061224516,0.21346274964615775,0.15771431969404756
49,22.918367346938794,0.2261496866534293,0.2168892005349911
50,20.364583333333314,0.2009499223894815,0.14329381053099358
51,25.591836734693857,0.252530460430454,0.26216576238479766
52,20.595744680851055,0.20323093418740543,0.12794201526855262
53,21.030612244897952,0.20752204104751437,0.17041411857463235
54,19.629999999999995,0.19370133490768818,0.15709454974417233
55,23.666666666666686,0.23353361824496305,0.18039727597401473
56,26.270833333333314,0.25923053926663553,0.24129671006726774
57,25.0,0.24669044180805938,0.2317402534864919
58,23.57446808510639,0.23262383789219562,0.20323505505154746
59,22.319148936170222,0.22023682847374842,0.18483732835361008
60,19.61702127659572,0.19357326582725998,0.10384323047537644
61,20.153846153846132,0.1988704484729584,0.13975546865208427
62,24.138888888888914,0.23819332659022646,0.20437440651463964
63,23.3125,0.23003883698601535,0.1878593337238165
64,23.469387755102048,0.2315869453708313,0.20389548643650868
65,22.571428571428555,0.22272622746099058,0.18463313133450782
66,23.112244897959158,0.22806279620214442,0.2075882777392249
67,19.80000000000001,0.19537882991198313,0.15083582404935816
68,20.019607843137237,0.19754583614590462,0.17298835769626017
69,20.600000000000023,0.20327292404984115,0.17422982904662931
70,18.947916666666686,0.18697079735369185,0.14357842747681684
71,18.53125,0.182859289990224,0.12198880282136905
72,24.895833333333314,0.24566256496719227,0.21908036873637626
73,27.910112359550567,0.27540631795560433,0.17205186552734086
74,23.75280898876406,0.23438363774482598,0.10548477534323035
75,22.95959595959596,0.22655651484029046,0.1344222080525427
76,25.040816326530603,0.24709320171305202,0.14844940073183094
77,27.138297872340445,0.2677903476818553,0.19228849931784753
78,22.573033707865193,0.22274206633365923,0.1342254216077046
79,22.446808510638277,0.22149652434681055,0.12626561791352886
80,23.086956521739125,0.2278132601740513,0.1580001705808877
81,20.84375,0.20567815585746949,0.11589488010149468
82,25.072164948453633,0.24740253792874267,0.15499597985953614
83,27.795698924731198,0.2742773299242296,0.20251859780283796
84,27.471910112359524,0.27108230571717057,0.1818842665611253
85,26.588888888888903,0.2623689898874162,0.15649082381606788
86,25.088888888888903,0.2475675633789326,0.14250003427491598
87,22.817204301075265,0.2251514483942804,0.1376983624990247
88,22.73684210526318,0.22435846497069842,0.15868619060729133
89,26.255319148936167,0.25907745122650655,0.20244067804190083
90,23.78888888888889,0.2347396604049134,0.14417452364925978
91,25.5,0.25162425064422056,0.12429246320289446
92,22.010638297872333,0.21719256344718071,0.11375790160022128
93,23.31683168316829,0.23008158037939766,0.12654959992182688
94,23.120000000000005,0.22813932058409334,0.13097031370756798
95,22.989583333333314,0.22685241877932774,0.13108291340226716
96,23.78947368421052,0.2347454309415638,0.1592450952924429
97,22.793478260869563,0.22491732890065236,0.13772108714411316
98,22.302083333333314,0.2200684316296061,0.14496164979648926
99,24.362745098039227,0.24040225407569718,0.13354234925552294
